Gene
ADA
CD24
MICA
KLRC4-KLRK1
TSPAN32
ADAM8
RASGRP1
EBI3
CDK6
LILRB2
TCIRG1
SIRPB1
BTN2A2
GPNMB
CEBPB
KAT5
BATF
TNFSF13B
TRAF3IP2
CCR9
HSPH1
LILRB1
FGL2
MALT1
KDELR1
SPINK5
LILRB4
RIPK3
BTN3A1
CD160
KAT7
GLMN
HHLA2
CORO1A
DUSP10
TREX1
CD300A
VSIG4
NLRP3
SLAMF6
CGAS
TNFRSF13C
CLC
JAML
CLPTM1
PSMB11
CCR6
CCR7
TMIGD2
MAP3K8
ADORA2A
CR1
ATF2
SIRPA
CSK
PIK3R6
RC3H1
IL23R
CTLA4
CTNNB1
CTPS1
CTSG
CTSL
CXADR
NKX2-3
CLECL1P
CD55
ZFPM1
DDOST
DHPS
DLG1
AGER
DOCK2
DPP4
DTX1
DUSP3
GPR183
EFNB1
EFNB2
EFNB3
EGR1
EGR3
ARID2
NLRC3
AIF1
ELF4
TIGIT
EPO
ERBB2
AKT1
F2RL1
FANCA
FANCD2
FCER1G
FCGR2B
FGL1
FKBP1A
IKZF3
FKBP1B
ZBTB1
KLRK1
FOXJ1
FOXO3
FCHO1
FLOT2
JMJD6
TMEM131L
KIF13B
ICOSLG
NCSTN
SCRIB
PATZ1
CADM1
IL27
MTOR
ABL1
FUT7
FYN
ZNF683
IL4I1
TMEM98
LRRC32
PTPN22
GATA3
CLEC4E
PLA2G2D
GBA1
KAT2A
ABL2
LAT
FOXP1
PRELID1
IL36B
SIT1
TNFRSF21
GLI2
GLI3
IFNL1
CCDC88B
GPR18
LGALS9B
TRDC
RABL3
TRBC2
TRBC1
TRAC
DROSHA
PYCARD
BRD7
CD274
GSN
NCAPH2
ICOS
TBX21
ANXA1
NCKAP1L
HFE
PLA2G2E
CD209
STOML2
HLA-A
HLA-DMA
HLA-DMB
HLA-DOA
HLA-DOB
HLA-DPA1
HLA-DPB1
HLA-DQA1
HLA-DQA2
HLA-DQB1
HLA-DQB2
HLA-DRA
HLA-DRB1
HLA-DRB3
HLA-DRB4
HLA-DRB5
HLA-E
HLA-G
MR1
HLX
HMGB1
AIRE
HES1
HSPD1
ICAM1
CLEC4D
IFNE
CLEC4G
IFNA1
IFNA2
IFNA4
IFNA5
IFNA6
IFNA7
IFNA8
IFNA10
IFNA13
IFNA14
IFNA16
IFNA17
IFNA21
IFNB1
IFNG
IFNW1
IGF1
IGF2
IGFBP2
IHH
IL1A
IL1B
IL2
IL2RA
IL2RG
IL4
IL4R
IL6
IL6R
IL6ST
IL7
IL7R
IL10
IL12A
IL12B
IL12RB1
IL15
TNFRSF9
IL18
IDO1
INS
IRF1
IRF4
ITGAL
ITK
ITPKB
JAG2
JAK2
JAK3
JUNB
KIT
KLRC1
ARG1
ARG2
RHOA
THEMIS
ILDR2
LAG3
LCK
LCP1
LEP
LEPR
LFNG
LGALS1
LGALS3
LGALS9
LIG4
RHOH
LMO1
LY9
LYN
MIR181C
MIR21
MIR27A
MIR30B
SMAD3
SMAD7
CD46
MDK
MEN1
MFAP3
KITLG
MICB
KMT2A
EIF2AK4
NRARP
TARM1
MSN
MYB
MYH9
NCK1
NKG7
PNP
P2RX7
PAWR
CLEC4A
FOXP3
ZBTB7B
PCK1
LEF1
ACTL6B
GPR89B
IL23A
CYRIB
PIK3CA
PIK3CD
PIK3CG
PIK3R1
PIK3R2
PKNOX1
PLA2G2A
PLA2G5
ATP7A
IL20RB
WNT4
SASH3
APBB1IP
RC3H2
DLL4
LAX1
PBRM1
PHF10
PPP3CA
PPP3CB
SIRPG
AMBRA1
CHD7
LMBR1L
PRKAR1A
PAG1
PRKCQ
PRKCZ
PRKDC
PRNP
CRTAM
METTL3
CYP26B1
PSEN1
B2M
PSG9
IFNK
DUSP22
PSMB10
TWSG1
ENTPD7
PELI1
ZMIZ1
BAD
PTGER4
ARID1B
PREX1
SH3RF1
GPAM
WDFY4
PTPN2
PTPN6
PTPN11
SLAMF7
ZP4
SLC46A2
PTPRC
BAX
SELENOK
RAB27A
RAC2
RAG1
RAG2
IL21
RARA
BCL2
RELB
ACTB
BCL3
BCL6
CDH26
RORA
RORC
RPL22
RPS3
RPS6
CEACAM1
CCL2
CCL5
CCL19
CCL21
BID
XCL1
SDC4
PRDM1
VSIR
NOD2
SEMA4A
NFKBIZ
AZI2
SFTPD
KLHL25
CLEC7A
PLA2G2F
SHB
SHH
BMI1
MARCHF7
BCL11B
RASAL3
SLAMF1
BMP4
SLC4A2
GPR89A
SLC7A1
LGALS9C
SLC11A1
SMARCA2
SMARCA4
SMARCB1
SMARCC1
SMARCC2
SMARCD1
SMARCD2
SMARCD3
SMARCE1
SOD1
SOS1
SOS2
SOX4
SOX12
SP3
SPI1
SPN
SPTA1
SRC
SRF
BRAF
ZFP36L1
STAT3
STAT5B
STAT6
ZFP36L2
STK11
SYK
ADAM17
TCF7
ZEB1
TRGC1
TRGC2
PRDX2
TFRC
TGFBR2
THY1
TNFRSF1B
TP53
TRAF6
TSC1
TNFSF4
CCR2
TNFRSF4
TYK2
SCGB1A1
VAV1
VCAM1
WAS
WNT1
WNT10B
XBP1
YES1
ZAP70
ZBTB16
ZP3
LAPTM5
FZD5
NKAP
TNFAIP8L2
VTCN1
ARMC5
NHEJ1
TREML2
ZC3H12A
PDCD1LG2
CD276
PRR7
NDFIP1
CAMK4
DOCK8
ARID1A
EOMES
FZD7
FZD8
CASP3
ITCH
MAD1L1
CASP8
SLA2
NCK2
CARD11
ZC3H8
FOXN1
LOXL3
NFKBID
HAVCR2
HSH2D
PIK3R3
AP3B1
CAV1
ACTL6A
RUNX2
TNFSF11
RUNX1
RUNX3
CBFB
SOCS1
PDE5A
CBLB
TNFSF14
TNFSF9
TNFRSF14
RIPK2
FADD
IL1RL2
IL18R1
CD84
VNN1
BCL10
RAB29
AP3D1
CCND3
SLAMF9
TNFSF18
CEACAM21
SH2D2A
SART1
DNAJA3
CD1C
CD1D
CD2
CD3D
RSAD2
CD3E
CD3G
CD247
CD4
CD5
CD6
DLG5
CD7
CD8A
CD8B
SOCS6
CD83
CD27
CD28
CD80
CD86
TNFSF8
ATG5
MAPK8IP1
SOX13
CD40LG
CD44
CD47
SOCS5
CD70
CD74
CD81
RIPOR2
TOX
CD151
TESPA1
MAFB
